IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,Cooking fuel,Biomass,HOUSEHOLDCOOKINGFUEL_FUEL_BIOMASS,,,,,,,12.07,,,7.01,,17.23,12.07 [7.01 - 17.23],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,Cooking fuel,Charcoal,HOUSEHOLDCOOKINGFUEL_FUEL_CHARCOAL,,,,,,,2.28,,,0,,10.14,2.28 [0 - 10.14],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,Cooking fuel,Charcoal,HOUSEHOLDCOOKINGFUEL_FUEL_CHARCOAL,,,,,,,6.55,,,2.81,,11.77,6.55 [2.81 - 11.77],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,Cooking fuel,Electricity,HOUSEHOLDCOOKINGFUEL_FUEL_ELECTRICITY,,,,,,,7.49,,,3.69,,12.12,7.49 [3.69 - 12.12],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,Cooking fuel,Biomass,HOUSEHOLDCOOKINGFUEL_FUEL_BIOMASS,,,,,,,87.66,,,78.89,,91.04,87.66 [78.89 - 91.04],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,Cooking fuel,Electricity,HOUSEHOLDCOOKINGFUEL_FUEL_ELECTRICITY,,,,,,,9.92,,,3.54,,19.13,9.92 [3.54 - 19.13],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,Cooking fuel,Biomass,HOUSEHOLDCOOKINGFUEL_FUEL_BIOMASS,,,,,,,95.87,,,83.47,,105.6,95.87 [83.47 - 105.55],,,EN,2024-07-01T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,Cooking fuel,Coal,HOUSEHOLDCOOKINGFUEL_FUEL_COAL,,,,,,,0,,,0,,0.7,0 [0 - 0.7],,,EN,2024-08-02T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,Cooking fuel,Coal,HOUSEHOLDCOOKINGFUEL_FUEL_COAL,,,,,,,0,,,0,,0.8,0 [0 - 0.8],,,EN,2024-08-02T04:00:00.000Z
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,Cooking fuel,Coal,HOUSEHOLDCOOKINGFUEL_FUEL_COAL,,,,,,,0,,,0,,1.2,0 [0 - 1.2],,,EN,2024-08-02T04:00:00.000Z
